$contributor.employer.matched
                                                   (Intercept)    cycle2020
AEVEX Corp.                                       0.6226446143 0.0004838053
AEye, Inc.                                        0.1177241376 0.0004838053
AF FINANCIAL GROUP                                0.1608581326 0.0004838053
AFA PROTECTIVE SYSTEMS INC                        1.2092753540 0.0004838053
AFB Ltd                                          -0.4366175907 0.0004838053
AFC CABLE SYSTEMS INC                            -0.0114939276 0.0004838053
AFFILIATED COMPUTER SERVICES INC                  1.3415043304 0.0004838053
AFFILIATED FOOD STORES INC                        0.6172983430 0.0004838053
AFFILIATED MANAGERS GROUP, INC.                  -0.1978530916 0.0004838053
AFFILIATED RESOURCES CORP                         0.4408655042 0.0004838053
Affinia Group Inc.                               -0.0068243661 0.0004838053
Affinion Group, Inc.                             -0.4048298822 0.0004838053
Affinity Gaming                                  -0.4083885847 0.0004838053
Affinivax, Inc.                                  -0.3759430986 0.0004838053
Affirm Holdings, Inc.                            -0.1967941730 0.0004838053
AFFIRMATIVE INSURANCE HOLDINGS INC               -0.3040751179 0.0004838053
AFFYMAX INC                                      -0.2242783690 0.0004838053
AFFYMETRIX INC                                   -0.3085591500 0.0004838053
Afiniti, Ltd.                                    -0.1132001720 0.0004838053
AFLAC INC                                        -0.0364305090 0.0004838053
AFN INC                                           0.2784192118 0.0004838053
AFR Inc.                                         -0.2483949567 0.0004838053
AFRICAN DEVELOPMENT BANK                         -0.4998774579 0.0004838053
AFS Holdings, Inc.                                0.1032100442 0.0004838053
AFV SOLUTIONS, INC.                              -0.1177981433 0.0004838053
Afya Ltd                                         -0.1831390504 0.0004838053
AG ASSOCIATES INC                                -0.2184056562 0.0004838053
AGEMARK CORP                                     -0.1620868069 0.0004838053
AGENUS INC                                       -0.2869437341 0.0004838053
AGES HEALTH SERVICES INC                         -0.3228219371 0.0004838053
AGF MANAGEMENT LTD                               -0.1676202624 0.0004838053
AGI Inc                                          -0.2053145034 0.0004838053
AGILE SOFTWARE CORP                              -0.2274507671 0.0004838053
AGILE THERAPEUTICS INC                           -0.2471764885 0.0004838053
AGILENT TECHNOLOGIES, INC.                       -0.2986703886 0.0004838053
AgileThought, Inc.                               -0.2282720110 0.0004838053
Agiliti Health, Inc.                             -0.2821220021 0.0004838053
AGILITY CAPITAL INC                              -0.2605604972 0.0004838053
agilon health, inc.                               0.1994483294 0.0004838053
AGILYSYS INC                                     -0.1679513740 0.0004838053
AGIOS PHARMACEUTICALS, INC.                      -0.2307742976 0.0004838053
AGNC Investment Corp.                             1.0928426370 0.0004838053
AGNICO EAGLE MINES LTD                           -0.1098134053 0.0004838053
AGNT, Inc.                                       -0.1719762759 0.0004838053
Agora, Inc.                                      -0.2509253946 0.0004838053
AGP & CO INC                                     -0.1311666662 0.0004838053
AGREE REALTY CORP                                 1.1434856548 0.0004838053
AGRI DYNAMICS INC                                -0.7324564356 0.0004838053
AGRISTAR INC                                      0.2267561982 0.0004838053
AGRIUM INC                                        0.6078748591 0.0004838053
AgroFresh Solutions, Inc.                        -0.2450616061 0.0004838053
AGWAY INC                                        -0.4247800897 0.0004838053
AGY Holding Corp.                                -0.0837609116 0.0004838053
AHERN RENTALS INC                                 0.2010744465 0.0004838053
AHL SERVICES INC                                 -0.2391561608 0.0004838053
AHP Servicing LLC                                -0.2318565409 0.0004838053
AHT CORP                                          0.0440437910 0.0004838053
AI Financial Corp                                -0.0780225115 0.0004838053
AI Technology Group Inc.                         -0.3745278311 0.0004838053
AiAdvertising, Inc.                              -0.4151558605 0.0004838053
AIC INTERNATIONAL INC                            -0.2756447836 0.0004838053
AIH INC                                          -0.3309874448 0.0004838053
AIM ImmunoTech Inc.                              -0.2311758838 0.0004838053
Aimmune Therapeutics, Inc.                       -0.2356268458 0.0004838053
Air China LTD                                    -0.1815621583 0.0004838053
AIR ENERGY INC                                   -0.2436723015 0.0004838053
