$contributor.employer.matched
                                              (Intercept)  cycle2020
BLACK BOX CORP                              -0.5184687120 0.07838961
Black Knight, Inc.                          -0.3183576205 0.07838961
BLACKBAUD INC                               -0.5088336720 0.07838961
BLACKBERRY Ltd                              -0.4750230629 0.07838961
BLACKBOARD INC                              -0.5535253957 0.07838961
BLACKLINE, INC.                             -0.4056815607 0.07838961
Blaize, Inc.                                -0.3950771314 0.07838961
Blend Labs, Inc.                            -0.4634994701 0.07838961
Block, Inc.                                 -0.4880759486 0.07838961
BLUE BRIDGE CAPITAL, INC.                    0.4012322937 0.07838961
BLUE COAT SYSTEMS INC                       -0.4653552505 0.07838961
Blue Coat, Inc.                             -0.4536163264 0.07838961
BMC SOFTWARE INC                            -0.4504494221 0.07838961
BOSTON TECHNOLOGY INC                       -0.4370757691 0.07838961
BOTTOMLINE TECHNOLOGIES INC                 -0.5000420162 0.07838961
bowmo, Inc.                                 -0.3303957905 0.07838961
BOX INC                                     -0.5035730207 0.07838961
BPO Management Services, Inc.               -0.4065426279 0.07838961
Brand Engagement Network Inc.                0.2375578234 0.07838961
Braze, Inc.                                 -0.5411914387 0.07838961
BRC HOLDINGS INC                            -0.2625573299 0.07838961
BRIDGE TECHNOLOGY INC                       -0.5129232040 0.07838961
Bridgeline Digital, Inc.                    -0.3794131274 0.07838961
Bright Mountain Media, Inc.                 -0.5099555986 0.07838961
Brightways Corp                             -0.4437856686 0.07838961
BRILLIANT DIGITAL ENTERTAINMENT INC         -0.4321082280 0.07838961
BROADBANDNOW INC                            -0.4119506239 0.07838961
BROADCASTER INC                             -0.4110607820 0.07838961
BROADCOM CORP                               -0.3941851652 0.07838961
BROADSOFT, INC.                             -0.3890186715 0.07838961
BROADVISION INC                             -0.2972971813 0.07838961
BROCADE COMMUNICATIONS SYSTEMS INC          -0.3451433313 0.07838961
Bumble Inc.                                 -0.5268863928 0.07838961
Business Warrior Corp                       -0.3859028357 0.07838961
C3.ai, Inc.                                 -0.1292076560 0.07838961
CA, INC.                                    -0.4946145291 0.07838961
CADENCE DESIGN SYSTEMS INC                  -0.4645680363 0.07838961
CAL INTERNATIONAL LTD                       -0.4846893802 0.07838961
CalAmp Corp.                                -0.3666472257 0.07838961
CALLIDUS SOFTWARE INC                       -0.4261195998 0.07838961
Cambium Networks Corp                       -0.2990290854 0.07838961
Canadian Solar Inc.                         -0.4723617449 0.07838961
CANTALOUPE, INC.                            -0.5437488248 0.07838961
CAPRI CORP                                  -0.5367655156 0.07838961
Carbon Black, Inc.                          -0.4008323662 0.07838961
Cardlytics, Inc.                            -0.5061987173 0.07838961
CARECENTRIC INC                             -0.4804223673 0.07838961
CareCloud, Inc.                             -0.5809292840 0.07838961
CareView Communications Inc                 -0.4680956238 0.07838961
CARLETON CORP                               -0.4880566634 0.07838961
Casa Systems Inc                            -0.4325881330 0.07838961
CASCADE TECHNOLOGIES CORP                   -0.2512794036 0.07838961
CATAPULT COMMUNICATIONS CORP                -0.4993938507 0.07838961
CAVIUM, INC.                                -0.4372414170 0.07838961
CDC CORP                                    -0.5058486992 0.07838961
CDC Software CORP                           -0.4861371063 0.07838961
CELERITY SOLUTIONS INC                      -0.2761729242 0.07838961
CELESTICA INC                               -0.3683514772 0.07838961
CERAGON NETWORKS LTD                        -0.4611439065 0.07838961
Cerebras Systems Inc.                       -0.4538386802 0.07838961
Cerence Inc.                                -0.4814538728 0.07838961
CERNER Corp                                 -0.5155822165 0.07838961
Certara, Inc.                               -0.4925315423 0.07838961
CEVA INC                                    -0.4093736236 0.07838961
CHANNELADVISOR CORP                         -0.5149886188 0.07838961
CHANNELL COMMERCIAL CORP                    -0.3806651871 0.07838961
CHECK POINT SOFTWARE TECHNOLOGIES LTD       -0.5328503511 0.07838961
CHECKPOINT SYSTEMS INC                      -0.4747233811 0.07838961
China Inc                                   -0.6105185105 0.07838961
CI&T Inc                                    -0.5391775540 0.07838961
CICERO INC                                  -0.2554732058 0.07838961
CIDRA CORP                                  -0.5944164835 0.07838961
CIENA CORP                                  -0.4694867738 0.07838961
CIMETRIX INC                                -0.3154099830 0.07838961
CIRCUIT SYSTEMS INC                          0.2274473853 0.07838961
CIRRUS LOGIC, INC.                          -0.4176247533 0.07838961
CISCO SYSTEMS, INC.                         -0.3531955886 0.07838961
CISION LTD.                                 -0.5395743114 0.07838961
CITRIX SYSTEMS INC                          -0.4777325095 0.07838961
CLARE INC                                   -0.5414271598 0.07838961
CLARIFY INC                                 -0.5247692911 0.07838961
Clear Secure, Inc.                          -0.4435355553 0.07838961
Clearfield, Inc.                            -0.5490107638 0.07838961
CLEARONE INC                                -0.7595386058 0.07838961
CLINICAL INTELLIGENCE INC                   -0.0707326467 0.07838961
Cloudera, Inc.                              -0.4795138328 0.07838961
Cloudflare, Inc.                            -0.4870101390 0.07838961
CloudMinds Inc.                             -0.4598820096 0.07838961
CLPS Inc                                    -0.5144332657 0.07838961
CMC INDUSTRIES INC                          -0.5976838464 0.07838961
CMC Materials, Inc.                         -0.5504278613 0.07838961
CNF TECHNOLOGIES INC                        -0.5402292132 0.07838961
COBRA ELECTRONICS CORP                      -0.3866525487 0.07838961
Coforge Ltd                                 -0.4287008782 0.07838961
Cogent, Inc.                                -0.4874302091 0.07838961
COGNIZANT TECHNOLOGY SOLUTIONS CORP         -0.5243267905 0.07838961
COGNOS INC                                  -0.5163140497 0.07838961
COMMAND SYSTEMS INC                         -0.5319250204 0.07838961
CommerceHub, Inc.                           -0.5744807004 0.07838961
COMMSCOPE INC                               -0.4179082953 0.07838961
COMMUNICATIONS & POWER INDUSTRIES LLC       -0.4472685434 0.07838961
COMMVAULT SYSTEMS INC                       -0.5060335846 0.07838961
COMPRESSION LABS INC                         0.1094678288 0.07838961
COMPUDYNE CORP                              -0.6091751614 0.07838961
COMPUSERVE CORP                             -0.4404127544 0.07838961
COMPUTER SCIENCES CORP                      -0.3793139699 0.07838961
Computer Software Innovations, Inc.         -0.4455259545 0.07838961
COMPUTER TASK GROUP INC                     -0.4412679526 0.07838961
COMPUWARE CORP                              -0.5479547115 0.07838961
COMTREX SYSTEMS CORP                         0.8741866797 0.07838961
CONCENTRA CORP                              -0.4887737261 0.07838961
CONCERO INC                                 -0.4667287668 0.07838961
