$contributor.employer.matched
                                              (Intercept)  cycle2020
CPI INTERNATIONAL, INC.                     -0.5607915923 0.07838962
CRAY COMPUTER CORP                          -0.4322897211 0.07838962
CRAY INC                                    -0.4546441898 0.07838962
CREATIVE REALITIES, INC.                    -0.4418944159 0.07838962
CREATIVE TECHNOLOGY LTD                     -0.5460092109 0.07838962
Cross Match Technologies, Inc.              -0.3912880054 0.07838962
CROSSCOMM CORP                              -0.4388194772 0.07838962
CROSSROADS SYSTEMS INC                      -0.0148337685 0.07838962
CROSSWORLDS SOFTWARE INC                    -0.0358301296 0.07838962
CrowdStrike Holdings, Inc.                  -0.4974860710 0.07838962
Crown Electrokinetics Corp.                 -0.3170098594 0.07838962
CS Disco, Inc.                              -0.5171598709 0.07838962
CSI TECHNOLOGIES INC                        -0.6743319131 0.07838962
CSRA Inc.                                   -0.5727077384 0.07838962
CTS CORP                                    -0.3465184907 0.07838962
CVC INC                                     -0.2451652650 0.07838962
CVENT INC                                   -0.5312113858 0.07838962
CYAN INC                                    -0.1725126998 0.07838962
CyberArk Software Ltd.                      -0.4034893243 0.07838962
CYBERLUX CORP                                0.1072182628 0.07838962
Cycurion, Inc.                              -0.4717368069 0.07838962
CYNET INC                                   -0.5001009733 0.07838962
Cyngn Inc.                                  -0.4435907812 0.07838962
CYREN Ltd.                                  -0.5559394881 0.07838962
Cyxtera Technologies, Inc.                  -0.4542174743 0.07838962
DAEGIS INC.                                 -0.5413070684 0.07838962
DANGER INC                                  -0.5288347678 0.07838962
DAS Inc                                     -0.5011690868 0.07838962
DATA DIMENSIONS INC                         -0.4013431833 0.07838962
Data443 Risk Mitigation, Inc.               -0.3668392595 0.07838962
DATACARD CORP                               -0.2852946104 0.07838962
Datadog, Inc.                               -0.5069921317 0.07838962
DATALINK CORP                               -0.5572366833 0.07838962
DATAMETRICS CORP                             0.0095851279 0.07838962
DATAPATH INC                                -0.5098958440 0.07838962
DataStax, Inc.                              -0.5221698027 0.07838962
