$contributor.employer.matched
                                                   (Intercept)    cycle2020
ACTUATE CORP                                     -0.0442340199 0.0004840761
ACTUATE THERAPEUTICS, INC.                       -0.1921759998 0.0004840761
Acuity Brands Lighting, Inc.                     -0.2894701789 0.0004840761
Acumen Pharmaceuticals, Inc.                     -0.2172457755 0.0004840761
Acutus Medical, Inc.                             -0.1785468893 0.0004840761
ACV Auctions Inc.                                -0.0960048963 0.0004840761
ADA-ES INC                                       -0.1593027372 0.0004840761
Adagene Inc.                                     -0.2270470964 0.0004840761
ADAM INC                                          0.1036978345 0.0004840761
Adamas Pharmaceuticals Inc                       -0.3377696050 0.0004840761
ADAMS OUTDOOR ADVERTISING INC                     0.1629772417 0.0004840761
ADAMS RITE AEROSPACE INC                         -0.1548534057 0.0004840761
AdaptHealth Corp.                                -0.2770741384 0.0004840761
Adaptive Biotechnologies Corp                    -0.0460610698 0.0004840761
ADAPTIVE INSIGHTS INC                            -0.2882107348 0.0004840761
ADAPTIVE SOLUTIONS INC                           -0.2368300890 0.0004840761
Addus HomeCare Corp                              -0.1630241413 0.0004840761
ADE CORP                                          0.1259471364 0.0004840761
Adeia Inc.                                       -0.1115269713 0.0004840761
ADEN SOLUTIONS INC.                              -0.2033424502 0.0004840761
ADENA INC                                         0.2365061161 0.0004840761
ADEPT TECHNOLOGY INC                             -0.0177937502 0.0004840761
Adeptus Health Inc.                              -0.0463415346 0.0004840761
ADESA INC                                        -0.2654899248 0.0004840761
ADESTO TECHNOLOGIES Corp                         -0.1453123482 0.0004840761
Adfitech, Inc.                                   -0.1913356303 0.0004840761
ADFORCE INC                                      -0.1663506887 0.0004840761
ADI GLOBAL DISTRIBUTION INC.                     -0.2166822955 0.0004840761
Adicet Bio, Inc.                                 -0.2916466267 0.0004840761
Adient plc                                       -0.2718516814 0.0004840761
ADKNOWLEDGE INC                                  -0.3289338859 0.0004840761
ADM ENTERPRISES INC                              -0.2095484875 0.0004840761
ADMA BIOLOGICS, INC.                             -0.0497483397 0.0004840761
Admiral Group                                     0.5774064111 0.0004840761
ADOBE INC.                                       -0.1530062864 0.0004840761
ADOREME, INC.                                    -0.1678483666 0.0004840761
ADT Corp                                         -0.2093666125 0.0004840761
ADVA INTERNATIONAL INC                           -0.0086703907 0.0004840761
Advance America, Cash Advance Centers, Inc.       0.4287046852 0.0004840761
ADVANCE AUTO PARTS INC                           -0.2313441443 0.0004840761
ADVANCE CIRCUITS INC                             -0.1379047543 0.0004840761
Advance Green Energy Inc                          0.5507712520 0.0004840761
ADVANCE STORES CO INC                            -0.2827139256 0.0004840761
ADVANCED COMMUNICATION SYSTEMS INC               -0.2372261417 0.0004840761
Advanced Disposal Services, Inc.                 -0.2706321044 0.0004840761
ADVANCED DRAINAGE SYSTEMS, INC.                   1.0704996963 0.0004840761
ADVANCED ENERGY INDUSTRIES INC                   -0.1834651731 0.0004840761
ADVANCED INPUT DEVICES INC                       -0.1998683157 0.0004840761
ADVANCED MEDIA INC                               -0.1630699236 0.0004840761
ADVANCED MICRO DEVICES INC                       -0.1365233863 0.0004840761
ADVANCED PHOTONIX INC                            -0.1889438145 0.0004840761
Advanced Resources Group, Ltd.                   -0.1738527986 0.0004840761
ADVANCED TECHNOLOGIES GROUP LTD                  -0.2448712748 0.0004840761
AdvanSix Inc.                                    -0.2073463418 0.0004840761
ADVANSTAR COMMUNICATIONS INC                     -0.4225352507 0.0004840761
ADVANSTAR INC                                    -0.4589070604 0.0004840761
ADVANTA BUSINESS SERVICES CORP                    0.1260273091 0.0004840761
ADVANTA CORP                                     -0.1994545196 0.0004840761
Advantage Health, LLC                             0.0121184564 0.0004840761
Advantage Insurance Inc.                         -0.1490641455 0.0004840761
ADVANTAGE PAYROLL SERVICES INC                    0.1036091436 0.0004840761
ADVANTAGE SOLUTIONS INC.                         -0.2005741086 0.0004840761
ADVANTAGE TECHNOLOGIES INC                       -0.3485629207 0.0004840761
ADVANTEST CORP                                   -0.0846527430 0.0004840761
ADVANZ PHARMA Corp.                              -0.2397193663 0.0004840761
ADVERTISING COM                                  -0.1960585650 0.0004840761
Adverum Biotechnologies, Inc.                    -0.1036194258 0.0004840761
ADVFN PLC                                        -0.2139285139 0.0004840761
ADVISORY BOARD CO                                -0.3574875537 0.0004840761
ADX Corp.                                        -0.3121498262 0.0004840761
Aearo Technologies Inc.                          -0.2644935063 0.0004840761
AECOM                                            -0.2446534632 0.0004840761
Aegerion Pharmaceuticals, Inc.                   -0.2920158228 0.0004840761
Aegion Corp                                      -0.1599467107 0.0004840761
AEGIS GROUP PLC                                  -0.2286418936 0.0004840761
Aegis Identity Software, Inc.                    -0.2304208021 0.0004840761
AEGON LTD.                                       -0.3563895481 0.0004840761
AEHR TEST SYSTEMS                                 0.0177538472 0.0004840761
AEI                                              -0.0120588067 0.0004840761
AEL INDUSTRIES INC                               -0.2436935977 0.0004840761
AEMETIS, INC                                     -0.0848239025 0.0004840761
AEON CO., LTD.                                   -0.3507710523 0.0004840761
AEP INDUSTRIES INC                                0.1846451978 0.0004840761
AEP TEXAS CENTRAL CO                              0.7428375819 0.0004840761
AEP Texas Inc.                                    0.9201414020 0.0004840761
AEP TEXAS NORTH CO                                0.8038849583 0.0004840761
AERCO LTD                                        -0.2125629118 0.0004840761
AERIAL COMMUNICATIONS INC                         0.6048448431 0.0004840761
AERIE PHARMACEUTICALS INC                        -0.0999683874 0.0004840761
AERO GROUP Inc                                    0.4914499354 0.0004840761
Aero Logistics, LLC                              -0.1871320918 0.0004840761
AERO SYSTEMS ENGINEERING INC                     -0.1341454499 0.0004840761
AeroControlex Group, Inc.                        -0.6029460354 0.0004840761
AEROFLEX INC                                     -0.0639166352 0.0004840761
AEROGEN INC                                      -0.3360847340 0.0004840761
AeroGrow International, Inc.                      0.0028794355 0.0004840761
AEROHIVE NETWORKS, INC                            0.1170394754 0.0004840761
Aerosonic LLC                                    -0.3048754083 0.0004840761
AeroVironment Inc                                -0.0514427677 0.0004840761
AerSale Corp                                     -0.2901329695 0.0004840761
AES CORP                                         -0.1887270695 0.0004840761
AESI Holdings Inc.                               -0.2106710054 0.0004840761
AESP INC                                         -0.2164158063 0.0004840761
AETHLON MEDICAL INC                               0.4439071470 0.0004840761
AEVEX Corp.                                       0.6226715772 0.0004840761
AEye, Inc.                                        0.1177273065 0.0004840761
AF FINANCIAL GROUP                                0.1608989611 0.0004840761
AFA PROTECTIVE SYSTEMS INC                        1.2093110503 0.0004840761
AFB Ltd                                          -0.4366260267 0.0004840761
AFC CABLE SYSTEMS INC                            -0.0114846948 0.0004840761
AFFILIATED COMPUTER SERVICES INC                  1.3415411805 0.0004840761
AFFILIATED FOOD STORES INC                        0.6174121762 0.0004840761
AFFILIATED MANAGERS GROUP, INC.                  -0.1978591049 0.0004840761
AFFILIATED RESOURCES CORP                         0.4409511472 0.0004840761
Affinia Group Inc.                               -0.0068183227 0.0004840761
Affinion Group, Inc.                             -0.4048326759 0.0004840761
Affinity Gaming                                  -0.4083950403 0.0004840761
Affinivax, Inc.                                  -0.3759510763 0.0004840761
Affirm Holdings, Inc.                            -0.1968106454 0.0004840761
AFFIRMATIVE INSURANCE HOLDINGS INC               -0.3041086547 0.0004840761
AFFYMAX INC                                      -0.2242991606 0.0004840761
AFFYMETRIX INC                                   -0.3085623716 0.0004840761
Afiniti, Ltd.                                    -0.1132007182 0.0004840761
AFLAC INC                                        -0.0364311314 0.0004840761
AFN INC                                           0.2784209566 0.0004840761
AFR Inc.                                         -0.2483965373 0.0004840761
AFRICAN DEVELOPMENT BANK                         -0.4998900544 0.0004840761
AFS Holdings, Inc.                                0.1032146173 0.0004840761
AFV SOLUTIONS, INC.                              -0.1178020232 0.0004840761
Afya Ltd                                         -0.1831460209 0.0004840761
AG ASSOCIATES INC                                -0.2184073887 0.0004840761
AGEMARK CORP                                     -0.1620880970 0.0004840761
AGENUS INC                                       -0.2869450199 0.0004840761
AGES HEALTH SERVICES INC                         -0.3228365433 0.0004840761
AGF MANAGEMENT LTD                               -0.1676272214 0.0004840761
AGI Inc                                          -0.2053154282 0.0004840761
AGILE SOFTWARE CORP                              -0.2274720064 0.0004840761
AGILE THERAPEUTICS INC                           -0.2471788071 0.0004840761
AGILENT TECHNOLOGIES, INC.                       -0.2986711666 0.0004840761
AgileThought, Inc.                               -0.2282734408 0.0004840761
Agiliti Health, Inc.                             -0.2821250921 0.0004840761
AGILITY CAPITAL INC                              -0.2605797712 0.0004840761
agilon health, inc.                               0.1994503595 0.0004840761
AGILYSYS INC                                     -0.1679518526 0.0004840761
AGIOS PHARMACEUTICALS, INC.                      -0.2307755720 0.0004840761
AGNC Investment Corp.                             1.0929157395 0.0004840761
AGNICO EAGLE MINES LTD                           -0.1098154735 0.0004840761
AGNT, Inc.                                       -0.1719888234 0.0004840761
Agora, Inc.                                      -0.2509262674 0.0004840761
AGP & CO INC                                     -0.1311676277 0.0004840761
AGREE REALTY CORP                                 1.1435156522 0.0004840761
AGRI DYNAMICS INC                                -0.7325583205 0.0004840761
AGRISTAR INC                                      0.2267794861 0.0004840761
AGRIUM INC                                        0.6078874187 0.0004840761
AgroFresh Solutions, Inc.                        -0.2450754384 0.0004840761
AGWAY INC                                        -0.4247904796 0.0004840761
AGY Holding Corp.                                -0.0837612344 0.0004840761
AHERN RENTALS INC                                 0.2010774292 0.0004840761
AHL SERVICES INC                                 -0.2391654544 0.0004840761
AHP Servicing LLC                                -0.2318785545 0.0004840761
AHT CORP                                          0.0440456173 0.0004840761
AI Financial Corp                                -0.0780200201 0.0004840761
AI Technology Group Inc.                         -0.3745342714 0.0004840761
AiAdvertising, Inc.                              -0.4151794936 0.0004840761
AIC INTERNATIONAL INC                            -0.2756465258 0.0004840761
AIH INC                                          -0.3310147987 0.0004840761
AIM ImmunoTech Inc.                              -0.2311816298 0.0004840761
Aimmune Therapeutics, Inc.                       -0.2356282970 0.0004840761
Air China LTD                                    -0.1815761645 0.0004840761
AIR ENERGY INC                                   -0.2436896920 0.0004840761
AIR INDUSTRIES GROUP                             -0.2458264495 0.0004840761
AIR METHODS CORP                                  0.0943703934 0.0004840761
Air Products & Chemicals, Inc.                   -0.1904360366 0.0004840761
AIR T INC                                        -0.1812305514 0.0004840761
Airbnb, Inc.                                     -0.2430088660 0.0004840761
Airborne Systems NA Inc.                         -0.1461327189 0.0004840761
Airborne Systems North America of CA Inc.        -0.2314559678 0.0004840761
Aircastle LTD                                    -0.4523170555 0.0004840761
AIRCRAFT SERVICE INTERNATIONAL GROUP INC         -0.4262780936 0.0004840761
AIRGAIN INC                                      -0.0887251661 0.0004840761
AIRGAS INC                                       -0.1552950868 0.0004840761
AIRNET SYSTEMS INC                               -0.0203904984 0.0004840761
AIRPORT HOTELS LLC                               -0.1873777661 0.0004840761
AIRSPAN NETWORKS INC                              0.2869201608 0.0004840761
AIRTRAN AIRWAYS INC                              -0.4079932696 0.0004840761
AIRVANA INC                                      -0.2092513880 0.0004840761
AIRWAVES INC                                     -0.2103822205 0.0004840761
AIRWAYS CORP                                     -0.2694257873 0.0004840761
AIRXCEL INC                                      -0.0025060532 0.0004840761
Ajinomoto Co Inc                                 -0.0605107231 0.0004840761
AK STEEL CORP                                    -0.2492303470 0.0004840761
AKAMAI TECHNOLOGIES INC                          -0.2560556423 0.0004840761
AKANDA CORP.                                     -0.1847268719 0.0004840761
Akari Therapeutics Plc                           -0.1383714456 0.0004840761
AKCEA THERAPEUTICS, INC.                         -0.2380486275 0.0004840761
Akebia Therapeutics, Inc.                         0.0408960554 0.0004840761
Akero Therapeutics, Inc.                         -0.1968790123 0.0004840761
AKI INC                                          -0.2204315764 0.0004840761
Akili, Inc.                                      -0.1946468085 0.0004840761
AKORN INC                                        -0.2463165618 0.0004840761
Akouos, Inc.                                     -0.2209879632 0.0004840761
