$contributor.employer.matched
                                                   (Intercept)  cycle2020
Advanced Disposal Services, Inc.                 -0.4106393979 0.08296006
ADVANCED DRAINAGE SYSTEMS, INC.                   0.8693746351 0.08296006
ADVANCED ENERGY INDUSTRIES INC                   -0.3462847398 0.08296006
ADVANCED INPUT DEVICES INC                       -0.3596885235 0.08296006
ADVANCED MEDIA INC                               -0.3206123056 0.08296006
ADVANCED MICRO DEVICES INC                       -0.3190531310 0.08296006
ADVANCED PHOTONIX INC                            -0.3610020635 0.08296006
Advanced Resources Group, Ltd.                   -0.3358152259 0.08296006
ADVANCED TECHNOLOGIES GROUP LTD                  -0.3901464869 0.08296006
AdvanSix Inc.                                    -0.3613055505 0.08296006
ADVANSTAR COMMUNICATIONS INC                     -0.5721922787 0.08296006
ADVANSTAR INC                                    -0.6191268629 0.08296006
ADVANTA BUSINESS SERVICES CORP                   -0.0125654681 0.08296006
ADVANTA CORP                                     -0.3197131461 0.08296006
Advantage Health, LLC                            -0.1144277717 0.08296006
Advantage Insurance Inc.                         -0.3093255067 0.08296006
ADVANTAGE PAYROLL SERVICES INC                   -0.0634986450 0.08296006
ADVANTAGE SOLUTIONS INC.                         -0.3497713285 0.08296006
ADVANTAGE TECHNOLOGIES INC                       -0.5062805509 0.08296006
ADVANTEST CORP                                   -0.2559837089 0.08296006
ADVANZ PHARMA Corp.                              -0.4023414226 0.08296006
ADVERTISING COM                                  -0.3490534757 0.08296006
Adverum Biotechnologies, Inc.                    -0.2556478645 0.08296006
ADVFN PLC                                        -0.3771277513 0.08296006
ADVISORY BOARD CO                                -0.5131764924 0.08296006
ADX Corp.                                        -0.4262719998 0.08296006
Aearo Technologies Inc.                          -0.3950465078 0.08296006
AECOM                                            -0.4095973597 0.08296006
Aegerion Pharmaceuticals, Inc.                   -0.4244879937 0.08296006
Aegion Corp                                      -0.3054053165 0.08296006
AEGIS GROUP PLC                                  -0.3857259094 0.08296006
Aegis Identity Software, Inc.                    -0.4086778631 0.08296006
AEGON LTD.                                       -0.4960046440 0.08296006
AEHR TEST SYSTEMS                                -0.2162030820 0.08296006
AEI                                              -0.1756664093 0.08296006
AEL INDUSTRIES INC                               -0.4005091316 0.08296006
AEMETIS, INC                                     -0.2623036391 0.08296006
AEON CO., LTD.                                   -0.4827458037 0.08296006
AEP INDUSTRIES INC                                0.0489773885 0.08296006
AEP TEXAS CENTRAL CO                              0.5982731061 0.08296006
AEP Texas Inc.                                    0.7723528824 0.08296006
AEP TEXAS NORTH CO                                0.6665279906 0.08296006
AERCO LTD                                        -0.3708441219 0.08296006
AERIAL COMMUNICATIONS INC                         0.4355468907 0.08296006
AERIE PHARMACEUTICALS INC                        -0.2541106633 0.08296006
AERO GROUP Inc                                    0.3480092416 0.08296006
Aero Logistics, LLC                              -0.3507242232 0.08296006
AERO SYSTEMS ENGINEERING INC                     -0.2746953137 0.08296006
AeroControlex Group, Inc.                        -0.7518872956 0.08296006
AEROFLEX INC                                     -0.2509317003 0.08296006
AEROGEN INC                                      -0.4899452368 0.08296006
AeroGrow International, Inc.                     -0.1443251180 0.08296006
AEROHIVE NETWORKS, INC                           -0.0338367727 0.08296006
Aerosonic LLC                                    -0.5264477739 0.08296006
AeroVironment Inc                                -0.2897129679 0.08296006
AerSale Corp                                     -0.4457229358 0.08296006
AES CORP                                         -0.3433198832 0.08296006
AESI Holdings Inc.                               -0.3684893499 0.08296006
AESP INC                                         -0.3666948794 0.08296006
AETHLON MEDICAL INC                               0.0491060783 0.08296006
AEVEX Corp.                                       0.4645332713 0.08296006
AEye, Inc.                                       -0.0933464249 0.08296006
AF FINANCIAL GROUP                               -0.0021864336 0.08296006
AFA PROTECTIVE SYSTEMS INC                        1.0786710970 0.08296006
AFB Ltd                                          -0.5768028197 0.08296006
AFC CABLE SYSTEMS INC                            -0.1724345461 0.08296006
AFFILIATED COMPUTER SERVICES INC                  1.1793553315 0.08296006
AFFILIATED FOOD STORES INC                        0.4720100343 0.08296006
AFFILIATED MANAGERS GROUP, INC.                  -0.3980327148 0.08296006
AFFILIATED RESOURCES CORP                         0.2704963618 0.08296006
Affinia Group Inc.                               -0.1873719346 0.08296006
Affinion Group, Inc.                             -0.5724187122 0.08296006
Affinity Gaming                                  -0.5634774619 0.08296006
Affinivax, Inc.                                  -0.5320291975 0.08296006
Affirm Holdings, Inc.                            -0.3750717191 0.08296006
AFFIRMATIVE INSURANCE HOLDINGS INC               -0.4604753442 0.08296006
AFFYMAX INC                                      -0.3816055161 0.08296006
AFFYMETRIX INC                                   -0.5031718790 0.08296006
Afiniti, Ltd.                                    -0.2671346832 0.08296006
AFLAC INC                                        -0.1931644282 0.08296006
AFN INC                                           0.1331623156 0.08296006
AFR Inc.                                         -0.3968906111 0.08296006
AFRICAN DEVELOPMENT BANK                         -0.6484612469 0.08296006
AFS Holdings, Inc.                               -0.0531771645 0.08296006
AFV SOLUTIONS, INC.                              -0.2821379074 0.08296006
Afya Ltd                                         -0.3310711739 0.08296006
AG ASSOCIATES INC                                -0.3677332731 0.08296006
AGEMARK CORP                                     -0.2974780177 0.08296006
AGENUS INC                                       -0.4614186245 0.08296006
AGES HEALTH SERVICES INC                         -0.4747952751 0.08296006
AGF MANAGEMENT LTD                               -0.3153535915 0.08296006
AGI Inc                                          -0.3568660102 0.08296006
AGILE SOFTWARE CORP                              -0.3839207897 0.08296006
AGILE THERAPEUTICS INC                           -0.6510099039 0.08296006
AGILENT TECHNOLOGIES, INC.                       -0.4619918591 0.08296006
AgileThought, Inc.                               -0.4368476401 0.08296006
Agiliti Health, Inc.                             -0.4366420753 0.08296006
AGILITY CAPITAL INC                              -0.3982732571 0.08296006
agilon health, inc.                              -0.0481097360 0.08296006
AGILYSYS INC                                     -0.3221484309 0.08296006
AGIOS PHARMACEUTICALS, INC.                      -0.3855980226 0.08296006
AGNC Investment Corp.                             0.9718293427 0.08296006
AGNICO EAGLE MINES LTD                           -0.3059388034 0.08296006
AGNT, Inc.                                       -0.3355659135 0.08296006
Agora, Inc.                                      -0.4117575911 0.08296006
AGP & CO INC                                     -0.2763122050 0.08296006
AGREE REALTY CORP                                 0.8681835570 0.08296006
AGRI DYNAMICS INC                                -0.8825986447 0.08296006
AGRISTAR INC                                      0.0769114498 0.08296006
AGRIUM INC                                        0.4028070658 0.08296006
AgroFresh Solutions, Inc.                        -0.4181425841 0.08296006
AGWAY INC                                        -0.5583556880 0.08296006
AGY Holding Corp.                                -0.2445172876 0.08296006
AHERN RENTALS INC                                 0.0613088421 0.08296006
AHL SERVICES INC                                 -0.3899433053 0.08296006
AHP Servicing LLC                                -0.3797645134 0.08296006
AHT CORP                                         -0.1047347320 0.08296006
AI Financial Corp                                -0.2410520367 0.08296006
AI Technology Group Inc.                         -0.5795462362 0.08296006
AiAdvertising, Inc.                              -0.5610352553 0.08296006
AIC INTERNATIONAL INC                            -0.4142109236 0.08296006
AIH INC                                          -0.4885372700 0.08296006
AIM ImmunoTech Inc.                              -0.7128282489 0.08296006
Aimmune Therapeutics, Inc.                       -0.3900554761 0.08296006
Air China LTD                                    -0.3382830338 0.08296006
AIR ENERGY INC                                   -0.4188139271 0.08296006
AIR INDUSTRIES GROUP                             -0.3634023568 0.08296006
AIR METHODS CORP                                 -0.0656667340 0.08296006
Air Products & Chemicals, Inc.                   -0.3620748815 0.08296006
AIR T INC                                        -0.3427112850 0.08296006
Airbnb, Inc.                                     -0.4006220593 0.08296006
Airborne Systems NA Inc.                         -0.3100171797 0.08296006
Airborne Systems North America of CA Inc.        -0.4168944118 0.08296006
Aircastle LTD                                    -0.6041724259 0.08296006
AIRCRAFT SERVICE INTERNATIONAL GROUP INC         -0.5772972049 0.08296006
AIRGAIN INC                                      -0.2472986637 0.08296006
AIRGAS INC                                       -0.3106594691 0.08296006
AIRNET SYSTEMS INC                               -0.2088115369 0.08296006
AIRPORT HOTELS LLC                               -0.3215729504 0.08296006
AIRSPAN NETWORKS INC                              0.0458115701 0.08296006
AIRTRAN AIRWAYS INC                              -0.5569313474 0.08296006
AIRVANA INC                                      -0.3772550387 0.08296006
AIRWAVES INC                                     -0.3443085812 0.08296006
AIRWAYS CORP                                     -0.4194147698 0.08296006
AIRXCEL INC                                      -0.1685230995 0.08296006
Ajinomoto Co Inc                                 -0.2076622073 0.08296006
AK STEEL CORP                                    -0.4065891012 0.08296006
AKAMAI TECHNOLOGIES INC                          -0.4343758085 0.08296006
AKANDA CORP.                                     -0.3438299296 0.08296006
Akari Therapeutics Plc                           -0.4558217055 0.08296006
AKCEA THERAPEUTICS, INC.                         -0.3784603817 0.08296006
Akebia Therapeutics, Inc.                        -0.1694851064 0.08296006
Akero Therapeutics, Inc.                         -0.3555698216 0.08296006
AKI INC                                          -0.3540571983 0.08296006
Akili, Inc.                                      -0.3404656417 0.08296006
AKORN INC                                        -0.3854068154 0.08296006
Akouos, Inc.                                     -0.4260394217 0.08296006
Akoya Biosciences, Inc.                          -0.4405564851 0.08296006
Akrion, Inc.                                     -0.2161804862 0.08296006
Akston Biosciences Corp                           0.3210454153 0.08296006
Aktis Oncology, Inc.                             -0.3784481551 0.08296006
AKUMIN INC.                                      -0.4414515179 0.08296006
AKZO NOBEL NV                                    -0.3808270540 0.08296006
AL ENTERTAINMENT INC                             -0.2171034567 0.08296006
ALABAMA POWER CO                                 -0.2143328009 0.08296006
ALABASTER CORP                                   -0.3986326373 0.08296006
Alamar Biosciences, Inc.                         -0.3883332554 0.08296006
ALAMO FINANCIAL SERVICES INC                     -0.4253666797 0.08296006
ALAMO GROUP INC                                  -0.0001879435 0.08296006
ALAMO RENT A CAR INC                             -0.3237757994 0.08296006
Alarum Technologies Ltd.                         -0.3463167378 0.08296006
ALASKA AIR GROUP, INC.                           -0.2479851577 0.08296006
