$contributor.employer.matched
                                                   (Intercept)  cycle2020
ADVANCE CIRCUITS INC                             -0.2948694434 0.08296017
Advance Green Energy Inc                          0.3937914860 0.08296017
ADVANCE STORES CO INC                            -0.4346851530 0.08296017
ADVANCED COMMUNICATION SYSTEMS INC               -0.3851753013 0.08296017
Advanced Disposal Services, Inc.                 -0.4106434358 0.08296017
ADVANCED DRAINAGE SYSTEMS, INC.                   0.8693771180 0.08296017
ADVANCED ENERGY INDUSTRIES INC                   -0.3462854903 0.08296017
ADVANCED INPUT DEVICES INC                       -0.3596933385 0.08296017
ADVANCED MEDIA INC                               -0.3206177818 0.08296017
ADVANCED MICRO DEVICES INC                       -0.3190533069 0.08296017
ADVANCED PHOTONIX INC                            -0.3610184526 0.08296017
Advanced Resources Group, Ltd.                   -0.3358274352 0.08296017
ADVANCED TECHNOLOGIES GROUP LTD                  -0.3901515260 0.08296017
AdvanSix Inc.                                    -0.3613062988 0.08296017
ADVANSTAR COMMUNICATIONS INC                     -0.5722041038 0.08296017
ADVANSTAR INC                                    -0.6191402460 0.08296017
ADVANTA BUSINESS SERVICES CORP                   -0.0125233084 0.08296017
ADVANTA CORP                                     -0.3197201711 0.08296017
Advantage Health, LLC                            -0.1144164423 0.08296017
Advantage Insurance Inc.                         -0.3093301861 0.08296017
ADVANTAGE PAYROLL SERVICES INC                   -0.0634650936 0.08296017
ADVANTAGE SOLUTIONS INC.                         -0.3497718113 0.08296017
ADVANTAGE TECHNOLOGIES INC                       -0.5062875548 0.08296017
ADVANTEST CORP                                   -0.2559837465 0.08296017
ADVANZ PHARMA Corp.                              -0.4023649741 0.08296017
ADVERTISING COM                                  -0.3490680421 0.08296017
Adverum Biotechnologies, Inc.                    -0.2556476725 0.08296017
ADVFN PLC                                        -0.3771470743 0.08296017
ADVISORY BOARD CO                                -0.5131773732 0.08296017
ADX Corp.                                        -0.4262780351 0.08296017
Aearo Technologies Inc.                          -0.3950514697 0.08296017
AECOM                                            -0.4095977779 0.08296017
Aegerion Pharmaceuticals, Inc.                   -0.4244920823 0.08296017
Aegion Corp                                      -0.3054062960 0.08296017
AEGIS GROUP PLC                                  -0.3857464869 0.08296017
Aegis Identity Software, Inc.                    -0.4087022601 0.08296017
AEGON LTD.                                       -0.4960063375 0.08296017
AEHR TEST SYSTEMS                                -0.2162029517 0.08296017
AEI                                              -0.1756664590 0.08296017
AEL INDUSTRIES INC                               -0.4005257359 0.08296017
AEMETIS, INC                                     -0.2623039948 0.08296017
AEON CO., LTD.                                   -0.4827471902 0.08296017
AEP INDUSTRIES INC                                0.0489949889 0.08296017
AEP TEXAS CENTRAL CO                              0.5982738451 0.08296017
AEP Texas Inc.                                    0.7723531809 0.08296017
AEP TEXAS NORTH CO                                0.6665306389 0.08296017
AERCO LTD                                        -0.3708623214 0.08296017
AERIAL COMMUNICATIONS INC                         0.4356645582 0.08296017
AERIE PHARMACEUTICALS INC                        -0.2541109860 0.08296017
AERO GROUP Inc                                    0.3481121604 0.08296017
Aero Logistics, LLC                              -0.3507391003 0.08296017
AERO SYSTEMS ENGINEERING INC                     -0.2746960158 0.08296017
AeroControlex Group, Inc.                        -0.7519252198 0.08296017
AEROFLEX INC                                     -0.2509315476 0.08296017
AEROGEN INC                                      -0.4899668485 0.08296017
AeroGrow International, Inc.                     -0.1443219524 0.08296017
AEROHIVE NETWORKS, INC                           -0.0338300308 0.08296017
Aerosonic LLC                                    -0.5264578484 0.08296017
AeroVironment Inc                                -0.2897133751 0.08296017
AerSale Corp                                     -0.4457249144 0.08296017
AES CORP                                         -0.3433203963 0.08296017
AESI Holdings Inc.                               -0.3685070655 0.08296017
AESP INC                                         -0.3666985374 0.08296017
AETHLON MEDICAL INC                               0.0491271291 0.08296017
AEVEX Corp.                                       0.4645626181 0.08296017
AEye, Inc.                                       -0.0933435277 0.08296017
AF FINANCIAL GROUP                               -0.0021424538 0.08296017
AFA PROTECTIVE SYSTEMS INC                        1.0787104173 0.08296017
AFB Ltd                                          -0.5768108490 0.08296017
AFC CABLE SYSTEMS INC                            -0.1724237262 0.08296017
AFFILIATED COMPUTER SERVICES INC                  1.1793950208 0.08296017
AFFILIATED FOOD STORES INC                        0.4721338230 0.08296017
AFFILIATED MANAGERS GROUP, INC.                  -0.3980406512 0.08296017
AFFILIATED RESOURCES CORP                         0.2705862902 0.08296017
Affinia Group Inc.                               -0.1873662291 0.08296017
Affinion Group, Inc.                             -0.5724213526 0.08296017
Affinity Gaming                                  -0.5634838128 0.08296017
Affinivax, Inc.                                  -0.5320370691 0.08296017
Affirm Holdings, Inc.                            -0.3750906061 0.08296017
AFFIRMATIVE INSURANCE HOLDINGS INC               -0.4605085418 0.08296017
AFFYMAX INC                                      -0.3816254587 0.08296017
AFFYMETRIX INC                                   -0.5031752990 0.08296017
Afiniti, Ltd.                                    -0.2671348275 0.08296017
AFLAC INC                                        -0.1931647720 0.08296017
AFN INC                                           0.1331646258 0.08296017
AFR Inc.                                         -0.3968918183 0.08296017
AFRICAN DEVELOPMENT BANK                         -0.6484737970 0.08296017
AFS Holdings, Inc.                               -0.0531716754 0.08296017
AFV SOLUTIONS, INC.                              -0.2821412122 0.08296017
Afya Ltd                                         -0.3310767792 0.08296017
AG ASSOCIATES INC                                -0.3677346488 0.08296017
AGEMARK CORP                                     -0.2974787934 0.08296017
AGENUS INC                                       -0.4614197128 0.08296017
AGES HEALTH SERVICES INC                         -0.4748094842 0.08296017
AGF MANAGEMENT LTD                               -0.3153588301 0.08296017
AGI Inc                                          -0.3568666538 0.08296017
AGILE SOFTWARE CORP                              -0.3839410519 0.08296017
AGILE THERAPEUTICS INC                           -0.6510146905 0.08296017
AGILENT TECHNOLOGIES, INC.                       -0.4619923733 0.08296017
AgileThought, Inc.                               -0.4368490300 0.08296017
Agiliti Health, Inc.                             -0.4366448821 0.08296017
AGILITY CAPITAL INC                              -0.3982897931 0.08296017
agilon health, inc.                              -0.0481080008 0.08296017
AGILYSYS INC                                     -0.3221485967 0.08296017
AGIOS PHARMACEUTICALS, INC.                      -0.3855990230 0.08296017
AGNC Investment Corp.                             0.9719102143 0.08296017
AGNICO EAGLE MINES LTD                           -0.3059441522 0.08296017
AGNT, Inc.                                       -0.3355782178 0.08296017
Agora, Inc.                                      -0.4117581727 0.08296017
AGP & CO INC                                     -0.2763127428 0.08296017
AGREE REALTY CORP                                 0.8682130488 0.08296017
AGRI DYNAMICS INC                                -0.8827027520 0.08296017
AGRISTAR INC                                      0.0769377870 0.08296017
AGRIUM INC                                        0.4028200542 0.08296017
AgroFresh Solutions, Inc.                        -0.4181574801 0.08296017
AGWAY INC                                        -0.5583654102 0.08296017
AGY Holding Corp.                                -0.2445170401 0.08296017
AHERN RENTALS INC                                 0.0613126636 0.08296017
AHL SERVICES INC                                 -0.3899517872 0.08296017
AHP Servicing LLC                                -0.3797842160 0.08296017
AHT CORP                                         -0.1047321274 0.08296017
AI Financial Corp                                -0.2410484090 0.08296017
AI Technology Group Inc.                         -0.5795535503 0.08296017
AiAdvertising, Inc.                              -0.5610583741 0.08296017
AIC INTERNATIONAL INC                            -0.4142123062 0.08296017
