$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
AVIAT NETWORKS, INC.                        -0.533163762 0.1212588 -0.004727251
AVID TECHNOLOGY, INC.                       -0.545176100 0.1212588 -0.004727251
AVOCENT CORP                                -0.128533959 0.1212588 -0.004727251
AVX Corp                                    -0.470834595 0.1212588 -0.004727251
AXT INC                                     -0.472017687 0.1212588 -0.004727251
AZTEK INC                                   -0.338323984 0.1212588 -0.004727251
Babylon Ltd                                 -0.632747372 0.1212588 -0.004727251
Backblaze, Inc.                             -0.631455303 0.1212588 -0.004727251
Baidu, Inc.                                 -0.473187598 0.1212588 -0.004727251
BAKBONE SOFTWARE INC                        -0.545271380 0.1212588 -0.004727251
BALLY TECHNOLOGIES, INC.                    -0.529595392 0.1212588 -0.004727251
BANCTEC INC                                 -0.703839361 0.1212588 -0.004727251
Bandwidth Inc.                              -0.576844494 0.1212588 -0.004727251
BARRACUDA NETWORKS INC                      -0.613385106 0.1212588 -0.004727251
BARRISTER GLOBAL SERVICES NETWORK INC       -0.461838735 0.1212588 -0.004727251
Bazaarvoice Inc                             -0.572045744 0.1212588 -0.004727251
BBN CORP                                    -0.586204733 0.1212588 -0.004727251
BE INC                                      -0.442549031 0.1212588 -0.004727251
BEA SYSTEMS INC                             -0.594021223 0.1212588 -0.004727251
BELL & HOWELL CO //                         -0.686821080 0.1212588 -0.004727251
BENCHMARK ELECTRONICS INC                   -0.562351313 0.1212588 -0.004727251
Benefitfocus, Inc.                          -0.630793715 0.1212588 -0.004727251
BENTLEY SYSTEMS INC                         -0.476653899 0.1212588 -0.004727251
BEST SOFTWARE INC                           -0.483624123 0.1212588 -0.004727251
BILL Holdings, Inc.                         -0.544768892 0.1212588 -0.004727251
BIO KEY INTERNATIONAL INC                   -0.621365619 0.1212588 -0.004727251
BioXcel LLC                                 -0.220608542 0.1212588 -0.004727251
Bitstream Inc.                              -0.143356395 0.1212588 -0.004727251
BK Technologies Corp                         0.466543361 0.1212588 -0.004727251
BLACK BOX CORP                              -0.613986559 0.1212588 -0.004727251
Black Knight, Inc.                          -0.397618578 0.1212588 -0.004727251
BLACKBAUD INC                               -0.588040532 0.1212588 -0.004727251
BLACKBERRY Ltd                              -0.566318922 0.1212588 -0.004727251
BLACKBOARD INC                              -0.631266792 0.1212588 -0.004727251
