$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
Aurora Innovation, Inc.                     -0.542623059 0.1212588 -0.004727353
Aurum, Inc.                                  1.128388527 0.1212588 -0.004727353
Autodesk, Inc.                              -0.569431364 0.1212588 -0.004727353
AutoWeb, Inc.                               -0.594529239 0.1212588 -0.004727353
Avago Technologies LTD                      -0.606692893 0.1212588 -0.004727353
AVALARA, INC.                               -0.536971322 0.1212588 -0.004727353
AVANT CORP                                  -0.663550732 0.1212588 -0.004727353
AVATAR SYSTEMS INC                          -0.683369632 0.1212588 -0.004727353
Avaya Holdings Corp.                        -0.761084276 0.1212588 -0.004727353
AVAYA INC                                   -0.567924835 0.1212588 -0.004727353
AvePoint, Inc.                              -0.616314970 0.1212588 -0.004727353
AVIAT NETWORKS, INC.                        -0.533162066 0.1212588 -0.004727353
AVID TECHNOLOGY, INC.                       -0.545174394 0.1212588 -0.004727353
AVOCENT CORP                                -0.128785706 0.1212588 -0.004727353
AVX Corp                                    -0.470837785 0.1212588 -0.004727353
AXT INC                                     -0.472025818 0.1212588 -0.004727353
AZTEK INC                                   -0.338401183 0.1212588 -0.004727353
Babylon Ltd                                 -0.632718737 0.1212588 -0.004727353
Backblaze, Inc.                             -0.631452412 0.1212588 -0.004727353
Baidu, Inc.                                 -0.473191131 0.1212588 -0.004727353
BAKBONE SOFTWARE INC                        -0.545242093 0.1212588 -0.004727353
BALLY TECHNOLOGIES, INC.                    -0.529591267 0.1212588 -0.004727353
BANCTEC INC                                 -0.703808905 0.1212588 -0.004727353
Bandwidth Inc.                              -0.576841961 0.1212588 -0.004727353
BARRACUDA NETWORKS INC                      -0.613382885 0.1212588 -0.004727353
BARRISTER GLOBAL SERVICES NETWORK INC       -0.461881211 0.1212588 -0.004727353
Bazaarvoice Inc                             -0.572044406 0.1212588 -0.004727353
BBN CORP                                    -0.586198096 0.1212588 -0.004727353
BE INC                                      -0.442550635 0.1212588 -0.004727353
BEA SYSTEMS INC                             -0.593995339 0.1212588 -0.004727353
BELL & HOWELL CO //                         -0.686783062 0.1212588 -0.004727353
BENCHMARK ELECTRONICS INC                   -0.562349101 0.1212588 -0.004727353
Benefitfocus, Inc.                          -0.630791364 0.1212588 -0.004727353
BENTLEY SYSTEMS INC                         -0.476653185 0.1212588 -0.004727353
BEST SOFTWARE INC                           -0.483647777 0.1212588 -0.004727353
BILL Holdings, Inc.                         -0.544755204 0.1212588 -0.004727353
BIO KEY INTERNATIONAL INC                   -0.621270678 0.1212588 -0.004727353
BioXcel LLC                                 -0.220720578 0.1212588 -0.004727353
Bitstream Inc.                              -0.143552355 0.1212588 -0.004727353
BK Technologies Corp                         0.466375009 0.1212588 -0.004727353
BLACK BOX CORP                              -0.613982229 0.1212588 -0.004727353
Black Knight, Inc.                          -0.397618893 0.1212588 -0.004727353
BLACKBAUD INC                               -0.588039366 0.1212588 -0.004727353
BLACKBERRY Ltd                              -0.566317365 0.1212588 -0.004727353
BLACKBOARD INC                              -0.631265166 0.1212588 -0.004727353
BLACKLINE, INC.                             -0.486455508 0.1212588 -0.004727353
Blaize, Inc.                                -0.473495856 0.1212588 -0.004727353
Blend Labs, Inc.                            -0.529766661 0.1212588 -0.004727353
Block, Inc.                                 -0.569824211 0.1212588 -0.004727353
BLUE BRIDGE CAPITAL, INC.                    0.326775815 0.1212588 -0.004727353
BLUE COAT SYSTEMS INC                       -0.526885753 0.1212588 -0.004727353
Blue Coat, Inc.                             -0.524839897 0.1212588 -0.004727353
BMC SOFTWARE INC                            -0.534943242 0.1212588 -0.004727353
BOSTON TECHNOLOGY INC                       -0.526504789 0.1212588 -0.004727353
BOTTOMLINE TECHNOLOGIES INC                 -0.583985530 0.1212588 -0.004727353
bowmo, Inc.                                 -0.410564960 0.1212588 -0.004727353
BOX INC                                     -0.586231130 0.1212588 -0.004727353
BPO Management Services, Inc.               -0.490468028 0.1212588 -0.004727353
Brand Engagement Network Inc.                0.068404567 0.1212588 -0.004727353
Braze, Inc.                                 -0.627760436 0.1212588 -0.004727353
BRC HOLDINGS INC                            -0.342088651 0.1212588 -0.004727353
BRIDGE TECHNOLOGY INC                       -0.573489525 0.1212588 -0.004727353
Bridgeline Digital, Inc.                    -0.463754598 0.1212588 -0.004727353
Bright Mountain Media, Inc.                 -0.592837567 0.1212588 -0.004727353
Brightways Corp                             -0.528316129 0.1212588 -0.004727353
BRILLIANT DIGITAL ENTERTAINMENT INC         -0.512628550 0.1212588 -0.004727353
BROADBANDNOW INC                            -0.491980729 0.1212588 -0.004727353
BROADCASTER INC                             -0.491173824 0.1212588 -0.004727353
BROADCOM CORP                               -0.486117445 0.1212588 -0.004727353
BROADSOFT, INC.                             -0.466432261 0.1212588 -0.004727353
BROADVISION INC                             -0.397820605 0.1212588 -0.004727353
BROCADE COMMUNICATIONS SYSTEMS INC          -0.445269402 0.1212588 -0.004727353
Bumble Inc.                                 -0.606394990 0.1212588 -0.004727353
Business Warrior Corp                       -0.459134178 0.1212588 -0.004727353
C3.ai, Inc.                                 -0.219409812 0.1212588 -0.004727353
CA, INC.                                    -0.571604387 0.1212588 -0.004727353
CADENCE DESIGN SYSTEMS INC                  -0.558289790 0.1212588 -0.004727353
CAL INTERNATIONAL LTD                       -0.561473150 0.1212588 -0.004727353
CalAmp Corp.                                -0.457930816 0.1212588 -0.004727353
CALLIDUS SOFTWARE INC                       -0.504696296 0.1212588 -0.004727353
Cambium Networks Corp                       -0.381321302 0.1212588 -0.004727353
Canadian Solar Inc.                         -0.535919108 0.1212588 -0.004727353
CANTALOUPE, INC.                            -0.624019670 0.1212588 -0.004727353
CAPRI CORP                                  -0.603769086 0.1212588 -0.004727353
Carbon Black, Inc.                          -0.495824174 0.1212588 -0.004727353
Cardlytics, Inc.                            -0.594633773 0.1212588 -0.004727353
CARECENTRIC INC                             -0.564652482 0.1212588 -0.004727353
CareCloud, Inc.                             -0.666628942 0.1212588 -0.004727353
CareView Communications Inc                 -0.548398545 0.1212588 -0.004727353
CARLETON CORP                               -0.572874963 0.1212588 -0.004727353
Casa Systems Inc                            -0.519201994 0.1212588 -0.004727353
CASCADE TECHNOLOGIES CORP                   -0.327524803 0.1212588 -0.004727353
CATAPULT COMMUNICATIONS CORP                -0.578926353 0.1212588 -0.004727353
CAVIUM, INC.                                -0.543400837 0.1212588 -0.004727353
CDC CORP                                    -0.581371247 0.1212588 -0.004727353
CDC Software CORP                           -0.567930841 0.1212588 -0.004727353
CELERITY SOLUTIONS INC                      -0.364503492 0.1212588 -0.004727353
CELESTICA INC                               -0.439220142 0.1212588 -0.004727353
CERAGON NETWORKS LTD                        -0.555812033 0.1212588 -0.004727353
Cerebras Systems Inc.                       -0.579098078 0.1212588 -0.004727353
Cerence Inc.                                -0.580319774 0.1212588 -0.004727353
CERNER Corp                                 -0.596836022 0.1212588 -0.004727353
Certara, Inc.                               -0.580975488 0.1212588 -0.004727353
CEVA INC                                    -0.479766520 0.1212588 -0.004727353
CHANNELADVISOR CORP                         -0.646072122 0.1212588 -0.004727353
CHANNELL COMMERCIAL CORP                    -0.504318994 0.1212588 -0.004727353
CHECK POINT SOFTWARE TECHNOLOGIES LTD       -0.623433655 0.1212588 -0.004727353
CHECKPOINT SYSTEMS INC                      -0.550690743 0.1212588 -0.004727353
China Inc                                   -0.682532755 0.1212588 -0.004727353
CI&T Inc                                    -0.605519399 0.1212588 -0.004727353
CICERO INC                                  -0.320030029 0.1212588 -0.004727353
CIDRA CORP                                  -0.683536684 0.1212588 -0.004727353
CIENA CORP                                  -0.554077754 0.1212588 -0.004727353
CIMETRIX INC                                -0.404933159 0.1212588 -0.004727353
CIRCUIT SYSTEMS INC                          0.156301529 0.1212588 -0.004727353
CIRRUS LOGIC, INC.                          -0.515375235 0.1212588 -0.004727353
CISCO SYSTEMS, INC.                         -0.430591594 0.1212588 -0.004727353
CISION LTD.                                 -0.609783446 0.1212588 -0.004727353
CITRIX SYSTEMS INC                          -0.572647863 0.1212588 -0.004727353
CLARE INC                                   -0.621343781 0.1212588 -0.004727353
CLARIFY INC                                 -0.603073929 0.1212588 -0.004727353
Clear Secure, Inc.                          -0.528056366 0.1212588 -0.004727353
Clearfield, Inc.                            -0.626190037 0.1212588 -0.004727353
CLEARONE INC                                -0.855968687 0.1212588 -0.004727353
CLINICAL INTELLIGENCE INC                   -0.144321065 0.1212588 -0.004727353
Cloudera, Inc.                              -0.568627262 0.1212588 -0.004727353
Cloudflare, Inc.                            -0.571084043 0.1212588 -0.004727353
CloudMinds Inc.                             -0.533402751 0.1212588 -0.004727353
CLPS Inc                                    -0.591572161 0.1212588 -0.004727353
CMC INDUSTRIES INC                          -0.674739203 0.1212588 -0.004727353
CMC Materials, Inc.                         -0.677051755 0.1212588 -0.004727353
CNF TECHNOLOGIES INC                        -0.626570445 0.1212588 -0.004727353
COBRA ELECTRONICS CORP                      -0.469272176 0.1212588 -0.004727353
Coforge Ltd                                 -0.503675615 0.1212588 -0.004727353
Cogent, Inc.                                -0.564074321 0.1212588 -0.004727353
COGNIZANT TECHNOLOGY SOLUTIONS CORP         -0.596041681 0.1212588 -0.004727353
COGNOS INC                                  -0.585100732 0.1212588 -0.004727353
COMMAND SYSTEMS INC                         -0.603743896 0.1212588 -0.004727353
CommerceHub, Inc.                           -0.656268836 0.1212588 -0.004727353
COMMSCOPE INC                               -0.498561976 0.1212588 -0.004727353
COMMUNICATIONS & POWER INDUSTRIES LLC       -0.501545535 0.1212588 -0.004727353
COMMVAULT SYSTEMS INC                       -0.597027535 0.1212588 -0.004727353
COMPRESSION LABS INC                         0.017913509 0.1212588 -0.004727353
COMPUDYNE CORP                              -0.687063994 0.1212588 -0.004727353
COMPUSERVE CORP                             -0.520616044 0.1212588 -0.004727353
COMPUTER SCIENCES CORP                      -0.463804109 0.1212588 -0.004727353
Computer Software Innovations, Inc.         -0.534986389 0.1212588 -0.004727353
COMPUTER TASK GROUP INC                     -0.528784913 0.1212588 -0.004727353
COMPUWARE CORP                              -0.634373088 0.1212588 -0.004727353
COMTREX SYSTEMS CORP                         0.844879544 0.1212588 -0.004727353
CONCENTRA CORP                              -0.561749314 0.1212588 -0.004727353
CONCERO INC                                 -0.539214772 0.1212588 -0.004727353
CONCUR TECHNOLOGIES INC                     -0.651198266 0.1212588 -0.004727353
CONCURRENT COMPUTER CORP                    -0.739671518 0.1212588 -0.004727353
CONEXANT SYSTEMS INC                        -0.174507404 0.1212588 -0.004727353
Confluent, Inc.                             -0.554329047 0.1212588 -0.004727353
CONNECTED CORP                              -0.549239084 0.1212588 -0.004727353
CONNECTURE INC                              -0.699109070 0.1212588 -0.004727353
Consensus Cloud Solutions, Inc.             -0.585763380 0.1212588 -0.004727353
CONSILIUM INC                               -0.590241924 0.1212588 -0.004727353
CONSTELLATION SOFTWARE INC                  -0.485873449 0.1212588 -0.004727353
CONTINUUM CO INC                            -0.652472392 0.1212588 -0.004727353
CONTROL DEVICES INC                          0.322511678 0.1212588 -0.004727353
CONTROL4 CORP                               -0.611750847 0.1212588 -0.004727353
CONVERA Corp                                -0.578461271 0.1212588 -0.004727353
ConvergeOne Holdings, Inc.                  -0.433227867 0.1212588 -0.004727353
CONVERGEX INC.                              -0.546667178 0.1212588 -0.004727353
Convio, Inc.                                -0.570334357 0.1212588 -0.004727353
COORSTEK INC                                -0.572399363 0.1212588 -0.004727353
CORAL SYSTEMS INC                           -0.549243519 0.1212588 -0.004727353
CORCOM INC                                  -0.593435968 0.1212588 -0.004727353
CoreCard Corp                               -0.678484146 0.1212588 -0.004727353
COREL CORP                                  -0.512116515 0.1212588 -0.004727353
CoreWeave, Inc.                             -0.565297785 0.1212588 -0.004727353
Cornerstone OnDemand Inc                    -0.552626453 0.1212588 -0.004727353
Corridor Communications Corp                -0.598003944 0.1212588 -0.004727353
Corsair Components, Inc.                    -0.652971933 0.1212588 -0.004727353
Corsair Gaming, Inc.                        -0.576128265 0.1212588 -0.004727353
CORTINA SYSTEMS INC                         -0.572107602 0.1212588 -0.004727353
Couchbase, Inc.                             -0.566697315 0.1212588 -0.004727353
COUNTERPATH CORP                            -0.587193147 0.1212588 -0.004727353
Coupa Software Inc                          -0.453335354 0.1212588 -0.004727353
Coursera, Inc.                              -0.553541507 0.1212588 -0.004727353
CPI INTERNATIONAL, INC.                     -0.622465333 0.1212588 -0.004727353
CRAY COMPUTER CORP                          -0.505715018 0.1212588 -0.004727353
CRAY INC                                    -0.581756487 0.1212588 -0.004727353
CREATIVE REALITIES, INC.                    -0.560227085 0.1212588 -0.004727353
CREATIVE TECHNOLOGY LTD                     -0.609773638 0.1212588 -0.004727353
Cross Match Technologies, Inc.              -0.475240575 0.1212588 -0.004727353
CROSSCOMM CORP                              -0.522900993 0.1212588 -0.004727353
CROSSROADS SYSTEMS INC                      -0.243456116 0.1212588 -0.004727353
CROSSWORLDS SOFTWARE INC                    -0.114660117 0.1212588 -0.004727353
